key,value
48107,48107
34936,34936
49314,49314
12251,12251
36942,36942
44179,44179
31819,31819
44817,44817
46269,46269
44637,44637
10581,10581
45037,45037
23522,23522
39035,39035
32283,32283
50293,50293
46874,46874
36763,36763
49432,49432
49479,49479
40492,40492
32394,32394
29400,29400
4733,4733
32394,32394
22053,22053
17867,17867
41792,41792
40350,40350
36446,36446
44151,44151
48237,48237
49400,49400
32138,32138
44541,44541
35899,35899
46777,46777
46458,46458
40808,40808
43358,43358
33603,33603
33986,33986
49479,49479
40109,40109
5877,5877
41453,41453
24656,24656
43139,43139
41561,41561
31636,31636
45185,45185
37710,37710
43474,43474
43005,43005
48722,48722
48981,48981
36932,36932
38604,38604
35664,35664
44380,44380
41051,41051
31642,31642
34925,34925
44894,44894
48262,48262
49586,49586
46759,46759
9986,9986
43494,43494
33699,33699
44188,44188
45978,45978
36738,36738
46001,46001
46982,46982
41759,41759
35974,35974
40515,40515
43981,43981
26241,26241
27601,27601
44263,44263
45069,45069
49155,49155
36690,36690
38950,38950
49088,49088
42176,42176
9110,9110
47583,47583
31740,31740
38860,38860
32497,32497
10652,10652
48329,48329
34796,34796
47618,47618
38770,38770
38211,38211
38662,38662
34136,34136
30688,30688
48144,48144
48549,48549
34501,34501
48957,48957
50232,50232
34854,34854
42790,42790
46068,46068
35031,35031
48036,48036
31020,31020
45992,45992
40394,40394
11071,11071
43733,43733
24937,24937
20395,20395
7195,7195
40740,40740
7871,7871
32513,32513
40497,40497
37072,37072
37727,37727
37157,37157
35398,35398
47475,47475
41858,41858
40242,40242
32503,32503
34491,34491
39303,39303
47147,47147
43009,43009
40990,40990
35983,35983
14458,14458
39587,39587
51087,51087
34164,34164
37060,37060
50100,50100
38493,38493
42307,42307
45549,45549
47946,47946
7154,7154
42538,42538
11132,11132
31761,31761
36990,36990
37350,37350
49242,49242
14488,14488
32318,32318
39868,39868
4214,4214
33432,33432
37475,37475
13526,13526
8020,8020
37583,37583
44889,44889
35578,35578
43335,43335
50171,50171
42339,42339
47095,47095
45890,45890
46199,46199
33748,33748
41107,41107
33614,33614
45354,45354
33764,33764
19770,19770
41752,41752
30969,30969
51031,51031
43526,43526
25448,25448
40317,40317
4253,4253
31746,31746
39889,39889
43235,43235
39892,39892
39063,39063
3726,3726
47956,47956
33519,33519
44826,44826
48589,48589
28520,28520
38820,38820
15607,15607
48079,48079
1887,1887
41313,41313
12590,12590
34489,34489
37976,37976
48286,48286
46674,46674
34484,34484
36601,36601
48120,48120
4821,4821
35058,35058
42435,42435
48934,48934
7423,7423
32734,32734
35748,35748
38996,38996
41887,41887
48190,48190
49259,49259
34077,34077
37980,37980
38819,38819
50538,50538
39292,39292
33525,33525
31084,31084
28615,28615
44208,44208
31490,31490
46616,46616
37558,37558
8419,8419
43429,43429
39292,39292
35367,35367
40021,40021
12006,12006
48104,48104
25175,25175
33150,33150
34401,34401
4604,4604
9623,9623
33707,33707
44977,44977
41942,41942
31889,31889
24780,24780
24246,24246
38640,38640
35092,35092
8055,8055
20368,20368
28114,28114
47444,47444
33172,33172
30036,30036
33051,33051
50113,50113
44915,44915
9987,9987
44211,44211
37318,37318
39718,39718
18606,18606
39228,39228
10814,10814
45907,45907
45767,45767
49004,49004
35282,35282
48067,48067
45493,45493
26462,26462
46490,46490
42248,42248
31224,31224
144,144
26884,26884
38077,38077
45187,45187
50724,50724
2503,2503
34804,34804
44689,44689
40964,40964
48820,48820
23849,23849
37614,37614
48314,48314
49219,49219
43061,43061
40122,40122
1495,1495
32098,32098
47429,47429
30828,30828
25157,25157
29890,29890
34577,34577
44318,44318
38890,38890
48451,48451
46248,46248
42479,42479
44567,44567
39276,39276
10752,10752
37160,37160
36234,36234
34118,34118
39842,39842
29558,29558
32555,32555
45761,45761
50499,50499
12186,12186
39679,39679
45502,45502
40369,40369
31974,31974
23971,23971
45692,45692
44859,44859
49984,49984
48306,48306
47116,47116
35251,35251
38361,38361
45326,45326
46816,46816
31159,31159
31103,31103
18227,18227
28722,28722
39093,39093
32621,32621
41458,41458
31673,31673
36580,36580
16047,16047
35310,35310
38493,38493
38791,38791
48239,48239
47418,47418
34159,34159
47188,47188
33855,33855
43840,43840
48895,48895
41111,41111
46008,46008
20443,20443
39647,39647
49895,49895
32058,32058
35232,35232
36316,36316
48430,48430
19480,19480
47646,47646
32545,32545
22365,22365
35385,35385
42416,42416
32700,32700
37862,37862
39228,39228
41251,41251
39205,39205
33707,33707
45906,45906
47973,47973
25712,25712
28887,28887
45239,45239
20748,20748
32107,32107
46769,46769
35967,35967
32231,32231
4424,4424
42599,42599
33494,33494
41819,41819
36626,36626
38405,38405
34285,34285
39391,39391
35196,35196
26228,26228
35489,35489
40182,40182
44456,44456
42616,42616
32177,32177
12835,12835
36458,36458
5523,5523
42969,42969
34930,34930
35890,35890
2961,2961
45909,45909
41110,41110
36949,36949
5535,5535
24583,24583
33462,33462
42337,42337
41480,41480
39343,39343
22741,22741
35802,35802
30966,30966
37023,37023
31788,31788
36610,36610
43082,43082
902,902
49189,49189
18213,18213
47495,47495
44876,44876
37504,37504
43020,43020
44060,44060
31677,31677
37294,37294
43268,43268
43997,43997
42584,42584
40472,40472
42513,42513
25244,25244
38069,38069
33817,33817
36645,36645
39888,39888
36596,36596
37560,37560
48881,48881
32051,32051
47798,47798
27333,27333
45033,45033
37693,37693
31773,31773
43983,43983
3310,3310
36592,36592
20670,20670
42888,42888
36586,36586
16990,16990
39174,39174
31990,31990
43121,43121
11917,11917
5208,5208
46550,46550
49532,49532
48632,48632
3809,3809
49888,49888
16453,16453
34514,34514
42362,42362
45690,45690
36828,36828
37284,37284
37264,37264
33051,33051
45946,45946
47411,47411
45521,45521
31125,31125
38997,38997
26225,26225
34343,34343
34798,34798
32989,32989
21532,21532
49989,49989
33943,33943
47122,47122
35037,35037
45679,45679
42867,42867
32384,32384
38221,38221
4498,4498
19347,19347
16112,16112
37696,37696
10928,10928
46611,46611
28575,28575
47986,47986
41295,41295
33213,33213
39513,39513
49814,49814
33336,33336
37084,37084
26134,26134
49459,49459
32569,32569
49333,49333
18531,18531
49675,49675
34908,34908
50912,50912
46904,46904
40746,40746
49000,49000
30332,30332
48756,48756
31957,31957
34531,34531
41454,41454
27317,27317
47606,47606
34105,34105
38446,38446
33093,33093
14498,14498
1668,1668
44556,44556
22495,22495
35860,35860
4981,4981
42531,42531
19098,19098
22501,22501
33602,33602
50562,50562
39092,39092
41459,41459
28596,28596
35279,35279
41800,41800
44014,44014
6377,6377
37045,37045
6397,6397
10881,10881
34294,34294
45914,45914
35721,35721
45173,45173
39217,39217
42463,42463
33443,33443
41159,41159
5699,5699
43432,43432
10654,10654
46650,46650
35585,35585
42583,42583
36106,36106
42832,42832
39149,39149
34309,34309
40261,40261
39094,39094
46855,46855
16672,16672
31342,31342
31783,31783
17425,17425
42389,42389
34201,34201
48274,48274
32811,32811
40366,40366
13581,13581
19084,19084
20673,20673
40671,40671
41775,41775
21009,21009
30721,30721
49599,49599
28739,28739
50381,50381
32120,32120
36713,36713
50697,50697
5858,5858
23817,23817
16731,16731
46634,46634
41403,41403
47476,47476
43974,43974
46801,46801
46287,46287
37580,37580
37625,37625
39043,39043
38020,38020
45504,45504
50611,50611
45221,45221
45638,45638
20064,20064
43884,43884
33239,33239
50868,50868
42108,42108
44479,44479
17407,17407
32531,32531
50038,50038
11436,11436
39183,39183
40645,40645
26709,26709
36069,36069
14325,14325
21851,21851
47178,47178
32579,32579
36252,36252
32869,32869
50122,50122
44092,44092
10943,10943
30231,30231
34858,34858
50085,50085
49141,49141
50232,50232
49061,49061
46819,46819
16409,16409
40636,40636
41920,41920
34073,34073
44320,44320
35946,35946
19579,19579
47177,47177
48434,48434
38732,38732
46500,46500
18365,18365
2590,2590
46806,46806
37729,37729
47487,47487
39048,39048
11454,11454
43573,43573
33274,33274
35250,35250
50976,50976
49308,49308
49583,49583
16025,16025
48240,48240
23532,23532
48734,48734
47340,47340
854,854
44414,44414
4669,4669
43863,43863
41527,41527
40801,40801
33628,33628
24702,24702
5155,5155
48622,48622
34024,34024
32810,32810
49826,49826
39265,39265
14689,14689
6106,6106
46957,46957
47889,47889
35184,35184
31133,31133
45444,45444
27328,27328
15397,15397
40269,40269
34909,34909
33782,33782
38549,38549
36527,36527
47268,47268
43087,43087
34876,34876
32502,32502
39766,39766
36927,36927
49089,49089
34970,34970
41705,41705
46638,46638
39449,39449
33546,33546
47675,47675
38940,38940
49034,49034
10437,10437
39244,39244
46406,46406
33755,33755
38534,38534
50682,50682
31409,31409
49218,49218
13217,13217
35610,35610
50831,50831
46695,46695
49950,49950
44149,44149
39856,39856
51056,51056
1102,1102
48180,48180
49202,49202
6474,6474
44652,44652
31870,31870
43383,43383
37577,37577
32128,32128
44798,44798
42818,42818
41738,41738
35590,35590
36326,36326
42954,42954
26510,26510
16804,16804
10070,10070
36286,36286
41815,41815
35282,35282
41149,41149
36271,36271
11978,11978
48182,48182
50010,50010
27553,27553
8600,8600
49888,49888
46333,46333
47152,47152
48069,48069
39119,39119
6669,6669
35867,35867
40997,40997
31358,31358
41241,41241
13129,13129
42899,42899
48280,48280
44134,44134
43237,43237
15587,15587
46701,46701
31772,31772
35929,35929
34495,34495
45899,45899
46904,46904
4776,4776
37936,37936
47423,47423
15368,15368
34188,34188
47708,47708
32139,32139
36656,36656
25780,25780
29777,29777
42879,42879
41217,41217
47386,47386
7961,7961
47077,47077
44250,44250
38366,38366
44546,44546
31428,31428
43461,43461
44875,44875
35896,35896
23340,23340
34285,34285
49677,49677
170,170
26933,26933
39008,39008
36269,36269
32668,32668
19184,19184
42268,42268
8646,8646
38454,38454
21615,21615
31684,31684
42011,42011
50228,50228
34037,34037
37378,37378
34786,34786
41756,41756
48735,48735
42176,42176
31105,31105
50142,50142
32591,32591
44014,44014
44741,44741
47554,47554
44929,44929
42693,42693
31929,31929
44649,44649
50798,50798
40895,40895
20934,20934
18824,18824
50827,50827
7496,7496
2823,2823
36421,36421
22341,22341
47995,47995
43262,43262
38806,38806
2440,2440
31425,31425
13200,13200
37689,37689
51054,51054
50016,50016
39094,39094
34833,34833
45640,45640
15338,15338
11404,11404
34199,34199
38977,38977
43259,43259
31248,31248
50581,50581
39012,39012
8716,8716
46542,46542
32387,32387
51185,51185
1897,1897
6646,6646
36458,36458
50520,50520
17126,17126
36288,36288
34393,34393
46659,46659
21000,21000
43547,43547
24080,24080
49642,49642
6914,6914
21830,21830
40148,40148
31436,31436
41546,41546
27330,27330
1492,1492
39727,39727
41986,41986
33753,33753
10359,10359
45456,45456
16932,16932
39894,39894
39910,39910
29603,29603
42319,42319
43979,43979
45873,45873
49931,49931
22423,22423
38126,38126
49606,49606
15993,15993
47682,47682
32381,32381
33038,33038
8431,8431
38559,38559
32805,32805
30772,30772
44583,44583
43888,43888
42778,42778
48830,48830
37112,37112
26953,26953
48866,48866
4838,4838
34736,34736
42101,42101
38379,38379
5067,5067
37097,37097
45616,45616
39553,39553
32034,32034
39426,39426
50347,50347
46895,46895
35100,35100
41549,41549
1108,1108
31179,31179
46099,46099
5076,5076
39504,39504
32041,32041
32689,32689
37576,37576
44017,44017
50066,50066
39021,39021
38045,38045
4422,4422
41472,41472
41860,41860
47421,47421
47424,47424
48854,48854
49235,49235
33540,33540
44932,44932
43207,43207
26673,26673
35845,35845
46973,46973
36931,36931
37197,37197
45132,45132
24038,24038
40898,40898
38163,38163
47807,47807
49609,49609
928,928
46475,46475
50065,50065
37209,37209
38583,38583
50226,50226
17690,17690
44652,44652
50755,50755
32274,32274
47609,47609
36187,36187
30513,30513
35048,35048
8205,8205
36926,36926
38687,38687
31994,31994
44935,44935
39999,39999
23658,23658
31978,31978
38910,38910
34670,34670
40878,40878
41034,41034
9549,9549
39901,39901
50502,50502
42859,42859
28640,28640
33860,33860
35867,35867
46369,46369
14326,14326
42953,42953
30833,30833
44010,44010
17016,17016
50928,50928
14149,14149
682,682
21484,21484
32677,32677
15513,15513
41146,41146
41959,41959
35059,35059
33148,33148
43030,43030
39049,39049
44329,44329
31482,31482
28785,28785
34107,34107
34509,34509
23222,23222
48279,48279
12675,12675
40796,40796
43843,43843
41308,41308
38273,38273
35982,35982
35262,35262
17675,17675
31348,31348
47304,47304
35363,35363
24198,24198
38996,38996
3575,3575
24464,24464
42057,42057
50247,50247
48304,48304
50319,50319
39858,39858
15360,15360
38580,38580
47346,47346
29989,29989
31663,31663
47729,47729
46594,46594
18959,18959
50220,50220
41644,41644
46853,46853
36505,36505
26443,26443
36754,36754
31935,31935
39414,39414
47061,47061
33540,33540
44601,44601
37290,37290
38829,38829
32341,32341
19485,19485
46958,46958
37362,37362
49117,49117
46170,46170
16242,16242
33214,33214
30817,30817
41339,41339
5248,5248
50102,50102
43931,43931
44262,44262
33845,33845
47431,47431
4844,4844
38077,38077
28344,28344
44564,44564
34282,34282
47787,47787
28109,28109
49964,49964
51130,51130
32720,32720
30421,30421
42949,42949
22627,22627
35969,35969
49262,49262
49985,49985
34136,34136
36821,36821
21885,21885
50459,50459
48481,48481
31061,31061
43634,43634
41087,41087
37401,37401
47434,47434
45629,45629
41084,41084
18877,18877
38634,38634
30898,30898
45544,45544
47507,47507
2720,2720
38069,38069
49975,49975
34986,34986
37810,37810
38826,38826
44664,44664
78,78
48108,48108
35175,35175
44793,44793
32840,32840
46519,46519
49061,49061
48710,48710
38613,38613
49990,49990
36427,36427
14107,14107
43216,43216
44194,44194
36990,36990
26100,26100
49111,49111
22214,22214
50799,50799
45821,45821
39521,39521
34192,34192
17320,17320
46014,46014
44734,44734
43779,43779
51046,51046
44935,44935
48631,48631
50906,50906
41529,41529
11513,11513
49788,49788
35401,35401
34282,34282
36852,36852
32349,32349
2864,2864
44626,44626
39906,39906
43676,43676
50879,50879
50411,50411
45978,45978
50639,50639
39237,39237
32348,32348
38457,38457
45835,45835
49992,49992
39518,39518
11052,11052
8549,8549
50539,50539
44345,44345
3898,3898
33509,33509
44745,44745
48380,48380
40011,40011
35497,35497
37818,37818
32142,32142
34978,34978
41787,41787
35905,35905
41403,41403
28483,28483
4469,4469
32010,32010
39371,39371
32212,32212
44121,44121
35643,35643
46790,46790
43686,43686
33869,33869
13482,13482
45208,45208
42989,42989
30959,30959
37138,37138
50796,50796
44957,44957
29249,29249
30575,30575
38433,38433
37411,37411
180,180
35343,35343
42587,42587
42638,42638
37034,37034
31898,31898
47798,47798
45634,45634
40355,40355
4867,4867
24977,24977
51104,51104
39674,39674
48902,48902
36047,36047
38271,38271
29133,29133
47343,47343
11371,11371
30530,30530
37758,37758
27126,27126
33320,33320
50791,50791
46210,46210
38953,38953
41186,41186
8817,8817
20931,20931
48341,48341
47954,47954
36385,36385
41328,41328
47080,47080
31023,31023
49738,49738
28889,28889
47116,47116
47951,47951
48675,48675
35609,35609
43649,43649
43891,43891
37968,37968
35274,35274
34034,34034
33785,33785
34340,34340
35320,35320
5748,5748
34943,34943
47713,47713
47694,47694
46104,46104
19118,19118
42213,42213
50594,50594
32045,32045
28421,28421
47104,47104
43963,43963
33897,33897
40246,40246
46751,46751
43500,43500
26351,26351
50407,50407
34344,34344
4787,4787
49681,49681
48155,48155
45176,45176
37552,37552
46276,46276
41720,41720
33547,33547
40791,40791
45089,45089
45778,45778
34772,34772
32272,32272
43785,43785
17620,17620
45637,45637
43626,43626
25900,25900
40017,40017
35187,35187
23908,23908
43679,43679
31203,31203
43530,43530
34609,34609
13187,13187
40857,40857
35566,35566
47121,47121
11124,11124
12,12
30446,30446
35952,35952
46197,46197
43157,43157
32211,32211
49088,49088
10504,10504
31465,31465
47263,47263
40071,40071
20205,20205
38963,38963
37793,37793
36722,36722
50956,50956
50953,50953
41622,41622
11581,11581
50232,50232
46931,46931
34935,34935
47530,47530
46148,46148
14784,14784
19050,19050
41795,41795
42843,42843
16633,16633
41639,41639
48120,48120
30402,30402
35256,35256
33100,33100
45726,45726
48943,48943
32082,32082
5767,5767
46053,46053
34276,34276
41392,41392
36960,36960
45207,45207
42454,42454
37615,37615
46955,46955
33397,33397
36835,36835
16042,16042
46283,46283
49185,49185
42607,42607
40273,40273
35501,35501
51131,51131
50564,50564
47512,47512
47099,47099
45439,45439
48940,48940
39139,39139
42121,42121
46792,46792
17782,17782
30153,30153
43746,43746
45089,45089
9971,9971
44210,44210
44636,44636
41081,41081
39035,39035
38007,38007
33047,33047
35608,35608
32561,32561
19374,19374
1919,1919
36414,36414
39309,39309
41096,41096
35224,35224
38932,38932
46416,46416
44650,44650
40630,40630
47288,47288
45127,45127
36817,36817
47040,47040
49385,49385
39869,39869
47780,47780
41172,41172
20862,20862
48962,48962
13852,13852
29490,29490
1763,1763
34420,34420
45902,45902
31515,31515
14018,14018
32972,32972
30047,30047
37301,37301
32430,32430
40907,40907
49354,49354
47735,47735
42536,42536
51189,51189
29646,29646
39718,39718
45583,45583
49876,49876
36131,36131
42957,42957
35182,35182
49919,49919
21531,21531
46198,46198
33160,33160
31232,31232
35758,35758
48986,48986
34923,34923
9091,9091
5321,5321
36236,36236
50229,50229
41881,41881
46471,46471
33635,33635
47390,47390
36100,36100
41818,41818
38231,38231
47760,47760
35126,35126
39498,39498
41969,41969
3565,3565
5755,5755
8845,8845
48730,48730
50257,50257
47508,47508
25696,25696
37009,37009
11583,11583
46434,46434
45714,45714
34679,34679
30852,30852
34084,34084
32635,32635
35354,35354
42624,42624
50433,50433
48483,48483
50819,50819
41403,41403
202,202
40430,40430
37849,37849
6728,6728
47784,47784
40209,40209
22549,22549
40685,40685
20270,20270
43960,43960
43763,43763
30057,30057
51030,51030
32065,32065
45447,45447
39207,39207
50381,50381
44438,44438
46659,46659
50280,50280
32678,32678
38526,38526
35726,35726
132,132
7799,7799
34623,34623
45623,45623
40901,40901
34904,34904
42107,42107
42944,42944
35922,35922
34875,34875
40610,40610
12306,12306
35692,35692
24171,24171
16261,16261
44864,44864
32856,32856
31084,31084
37493,37493
44509,44509
42315,42315
16075,16075
48642,48642
42600,42600
12110,12110
33302,33302
34850,34850
6643,6643
32287,32287
4032,4032
32379,32379
50721,50721
50386,50386
34882,34882
42615,42615
44434,44434
6310,6310
49253,49253
20139,20139
44683,44683
40766,40766
44610,44610
40333,40333
35545,35545
41858,41858
39803,39803
48874,48874
33573,33573
47127,47127
27716,27716
29261,29261
38780,38780
44513,44513
43585,43585
5371,5371
47486,47486
41295,41295
43147,43147
35843,35843
24365,24365
44335,44335
34321,34321
43538,43538
50159,50159
36290,36290
41182,41182
35001,35001
47566,47566
46140,46140
31553,31553
44663,44663
50690,50690
32288,32288
36230,36230
17253,17253
38179,38179
49393,49393
31537,31537
39847,39847
19126,19126
36474,36474
23699,23699
3079,3079
51036,51036
44230,44230
32246,32246
37162,37162
35544,35544
43510,43510
43454,43454
49167,49167
51194,51194
14024,14024
31957,31957
37952,37952
49987,49987
37961,37961
3445,3445
40787,40787
46110,46110
14713,14713
33648,33648
42859,42859
49790,49790
25289,25289
40821,40821
41851,41851
31796,31796
47051,47051
44478,44478
48237,48237
33895,33895
9722,9722
31865,31865
50735,50735
37265,37265
38918,38918
38520,38520
49551,49551
18331,18331
50624,50624
32119,32119
30959,30959
41738,41738
40730,40730
46451,46451
39373,39373
39401,39401
47239,47239
47288,47288
39005,39005
11571,11571
51168,51168
37801,37801
45728,45728
40239,40239
42152,42152
15102,15102
34070,34070
39726,39726
49718,49718
30523,30523
49190,49190
38688,38688
38542,38542
24302,24302
42741,42741
44031,44031
46112,46112
49130,49130
47661,47661
36951,36951
37877,37877
35120,35120
45755,45755
39769,39769
976,976
40117,40117
4378,4378
33966,33966
36379,36379
37476,37476
28777,28777
14448,14448
32363,32363
47492,47492
1599,1599
44202,44202
42673,42673
39555,39555
42234,42234
38882,38882
47867,47867
51166,51166
33279,33279
43221,43221
31693,31693
37075,37075
44856,44856
44207,44207
16088,16088
43565,43565
16076,16076
49225,49225
48120,48120
37567,37567
38340,38340
40319,40319
47733,47733
32707,32707
34293,34293
41976,41976
9750,9750
42933,42933
30610,30610
34565,34565
48518,48518
8987,8987
45420,45420
48392,48392
31839,31839
48664,48664
32659,32659
43586,43586
50698,50698
28070,28070
40972,40972
50987,50987
45361,45361
48806,48806
31467,31467
43263,43263
32533,32533
33938,33938
37964,37964
48511,48511
2685,2685
38920,38920
34911,34911
44873,44873
26256,26256
48068,48068
34210,34210
34197,34197
1770,1770
2965,2965
45976,45976
35623,35623
31548,31548
14262,14262
31024,31024
8631,8631
46530,46530
48539,48539
45537,45537
41540,41540
26839,26839
38105,38105
47001,47001
44274,44274
46246,46246
14025,14025
27279,27279
50239,50239
51173,51173
31730,31730
40632,40632
39999,39999
41480,41480
31220,31220
47165,47165
48091,48091
17108,17108
35612,35612
27037,27037
34870,34870
45389,45389
48201,48201
38994,38994
23771,23771
48724,48724
38024,38024
47174,47174
42338,42338
47438,47438
51128,51128
50183,50183
4237,4237
40669,40669
42245,42245
43858,43858
9853,9853
48993,48993
14278,14278
11622,11622
27960,27960
31779,31779
34843,34843
48593,48593
43043,43043
35353,35353
35052,35052
43831,43831
40708,40708
48163,48163
11374,11374
35062,35062
38991,38991
51034,51034
48659,48659
43300,43300
42078,42078
38202,38202
46506,46506
33720,33720
50916,50916
44342,44342
47831,47831
38871,38871
35140,35140
45011,45011
31130,31130
34674,34674
37865,37865
24111,24111
39711,39711
38808,38808
43649,43649
34645,34645
37075,37075
46339,46339
34687,34687
36390,36390
38369,38369
35985,35985
47833,47833
43538,43538
34392,34392
39521,39521
21459,21459
8184,8184
46373,46373
47769,47769
39887,39887
40075,40075
30850,30850
34621,34621
32828,32828
40701,40701
39858,39858
44763,44763
40034,40034
31851,31851
43201,43201
46631,46631
19615,19615
37456,37456
33263,33263
39160,39160
44442,44442
34298,34298
47267,47267
16205,16205
47108,47108
46560,46560
24531,24531
8203,8203
41609,41609
31455,31455
38153,38153
26056,26056
32572,32572
35612,35612
45682,45682
41357,41357
50006,50006
36161,36161
12458,12458
41463,41463
43556,43556
31947,31947
24416,24416
44158,44158
46264,46264
14083,14083
40399,40399
11754,11754
42536,42536
37729,37729
1756,1756
7644,7644
31110,31110
37383,37383
39499,39499
42296,42296
34508,34508
43431,43431
40841,40841
49310,49310
36309,36309
4611,4611
51182,51182
34542,34542
49606,49606
49365,49365
37063,37063
47868,47868
15162,15162
8362,8362
4940,4940
46589,46589
32026,32026
41570,41570
33086,33086
25505,25505
35222,35222
34222,34222
40575,40575
16526,16526
48751,48751
38163,38163
9089,9089
32079,32079
25850,25850
36417,36417
30128,30128
33783,33783
31660,31660
26377,26377
45407,45407
5052,5052
48077,48077
35437,35437
45727,45727
29302,29302
35882,35882
47312,47312
45005,45005
34861,34861
2441,2441
35903,35903
38793,38793
20977,20977
39527,39527
34791,34791
27139,27139
41656,41656
48520,48520
34978,34978
40590,40590
23573,23573
32266,32266
27531,27531
39337,39337
41620,41620
44994,44994
10574,10574
32428,32428
45005,45005
42630,42630
39166,39166
42157,42157
34979,34979
31039,31039
34136,34136
48719,48719
46478,46478
48409,48409
47901,47901
30427,30427
24340,24340
34544,34544
38955,38955
48457,48457
50384,50384
46834,46834
49161,49161
44809,44809
21929,21929
47315,47315
39833,39833
44749,44749
30855,30855
31814,31814
47182,47182
49219,49219
39710,39710
47694,47694
47278,47278
35612,35612
37365,37365
44874,44874
45186,45186
49423,49423
32220,32220
42636,42636
14008,14008
32212,32212
24045,24045
45795,45795
21727,21727
47819,47819
39204,39204
51058,51058
38350,38350
32875,32875
9747,9747
36218,36218
41380,41380
35017,35017
36165,36165
34082,34082
33313,33313
35621,35621
37193,37193
29257,29257
46604,46604
35157,35157
49629,49629
44616,44616
47818,47818
39240,39240
34568,34568
39572,39572
46506,46506
45363,45363
34616,34616
17287,17287
35786,35786
37703,37703
32119,32119
42116,42116
49370,49370
44879,44879
31086,31086
25930,25930
32582,32582
35549,35549
47576,47576
42983,42983
46879,46879
48775,48775
28408,28408
36930,36930
31735,31735
3692,3692
46942,46942
31450,31450
47586,47586
44455,44455
16733,16733
1012,1012
32560,32560
8578,8578
46067,46067
43301,43301
35542,35542
9034,9034
34408,34408
11636,11636
47268,47268
36507,36507
42551,42551
16321,16321
36442,36442
7579,7579
33047,33047
49363,49363
39835,39835
48975,48975
38869,38869
41791,41791
45737,45737
36337,36337
46972,46972
47079,47079
43549,43549
42331,42331
49289,49289
40637,40637
48153,48153
5661,5661
43630,43630
41636,41636
36279,36279
31286,31286
7776,7776
37723,37723
44674,44674
39054,39054
43460,43460
36653,36653
39315,39315
42600,42600
8825,8825
6363,6363
22039,22039
43286,43286
49133,49133
27053,27053
46463,46463
19045,19045
31977,31977
26749,26749
47322,47322
36875,36875
18097,18097
44492,44492
37928,37928
42575,42575
32226,32226
42319,42319
24068,24068
28144,28144
45843,45843
47997,47997
41798,41798
50128,50128
32297,32297
35644,35644
12699,12699
50557,50557
43089,43089
43498,43498
49230,49230
39151,39151
47916,47916
32406,32406
43531,43531
